earn,white,educ,exper,lnearn,age,fed,med,kww,iq
307.57199,1,12,13,5.7287092,31,8,8,35,93
403.77289,1,18,13,6.0008526,37,14,14,41,119
329.87354,1,14,13,5.7987094,33,14,14,46,108
260.00723,1,12,14,5.5607095,32,12,12,32,96
224.91206,1,11,17,5.4157095,34,11,6,27,74
559.87256,0,16,13,6.3277092,35,0,8,43,116
240.01683,1,10,14,5.4807091,30,8,8,24,91
432.55493,1,18,14,6.0697093,38,0,8,50,114
519.30554,1,15,15,6.2524924,36,5,14,37,111
400.0979,1,12,18,5.9917092,36,11,12,44,95
399.82611,1,18,14,5.9910297,38,14,13,44,132
350.16907,1,14,13,5.8584161,33,0,16,45,102
404.84018,1,15,9,6.0034924,30,12,12,40,125
500.90472,1,16,6,6.2164159,28,10,10,24,119
716.7373,1,16,12,6.5747094,34,12,12,47,118
479.07281,1,10,19,6.1718526,35,8,6,37,105
611.85327,1,15,15,6.4164925,36,10,12,39,109
339.91962,1,11,21,5.8287091,38,8,10,36,72
365.40985,1,14,9,5.9010196,29,0,12,29,105
207.26936,1,12,13,5.3340192,31,0,8,34,101
510.15228,1,14,11,6.2347093,31,0,12,37,123
807.42719,1,16,14,6.6938529,36,12,12,49,113
567.48657,1,12,20,6.341217,38,10,10,36,95
961.49768,1,16,16,6.8684921,38,12,12,50,145
399.98056,1,16,10,5.991416,32,11,11,35,114
961.19238,1,16,7,6.8681746,29,16,16,32,124
475.18735,1,13,16,6.1637092,35,8,12,40,93
320.12424,1,18,11,5.7687092,35,8,8,39,115
679.95789,1,17,11,6.5220308,34,12,13,41,125
254.09526,1,18,12,5.5377092,36,16,16,35,128
400.0979,1,12,16,5.9917092,34,0,8,40,103
711.83984,1,14,15,6.567853,35,12,12,41,98
2000.8311,1,13,13,7.6013179,32,12,12,41,108
499.85486,1,18,14,6.2143178,38,18,18,40,129
711.73767,1,17,9,6.5677094,32,14,17,42,132
312.84549,1,13,12,5.7457094,31,0,8,24,92
550.14276,0,14,8,6.3101778,28,8,12,39,108
509.64243,1,13,12,6.2337093,31,12,15,35,106
249.92923,1,16,7,5.5211778,29,12,13,37,105
432.55493,1,18,12,6.0697093,36,12,12,46,123
276.91461,1,12,20,5.6237092,38,7,8,48,108
500.90472,1,17,10,6.2164159,33,8,12,47,122
557.51672,1,12,20,6.3234925,38,0,12,44,109
277.17987,1,13,19,5.6246667,38,9,10,40,100
961.18134,1,18,10,6.8681631,34,15,14,50,125
392.56778,1,14,15,5.9727092,35,0,12,41,122
307.8797,1,17,7,5.7297091,30,12,12,34,105
577.00616,1,16,11,6.3578529,33,12,12,37,94
462.06671,1,12,16,6.1357093,34,0,12,36,102
484.52771,1,13,19,6.1831746,38,10,12,47,109
439.97131,1,12,20,6.0867095,38,12,12,45,105
461.60492,1,18,13,6.1347094,37,12,12,46,134
699.7403,1,12,11,6.5507092,29,9,12,32,108
500.12238,1,16,8,6.2148528,30,11,12,36,104
184.69568,1,12,11,5.2187095,29,0,12,35,112
422.91153,1,18,8,6.047163,32,8,11,49,120
437.40213,1,16,9,6.080853,31,16,17,40,124
549.88495,1,12,11,6.3097091,29,10,12,34,103
653.59796,1,17,7,6.4824924,30,14,12,45,115
320.12424,1,12,17,5.7687092,35,8,6,33,96
961.18134,1,17,13,6.8681631,36,12,12,48,123
460.22205,1,12,11,6.1317091,29,8,12,34,98
419.83115,1,12,17,6.0398526,35,8,12,34,96
439.87564,1,12,20,6.0864921,38,0,12,47,89
385.17938,1,12,19,5.9537091,37,7,0,43,109
259.95258,1,12,10,5.5604992,28,11,9,20,93
265.11786,1,12,15,5.5801744,33,9,12,32,82
240.01683,1,15,17,5.4807091,38,0,12,45,120
519.26593,1,12,14,6.2524161,32,0,12,38,122
788.41974,1,18,9,6.6700306,33,18,12,48,117
582.13898,1,16,14,6.3667092,36,8,8,44,109
923.99725,1,18,14,6.8287091,38,16,12,55,114
757.09766,1,16,9,6.6294923,31,16,12,40,126
494.08582,1,12,15,6.2027092,33,11,11,45,82
384.71094,1,16,10,5.9524922,32,9,12,45,119
450.11334,1,16,13,6.1094995,35,6,12,37,104
416.00998,1,15,14,6.0307093,35,11,0,49,115
500.12238,1,12,18,6.2148528,36,12,12,45,97
270.07755,1,15,10,5.5987091,31,12,14,27,105
406.9733,1,12,12,6.0087476,30,7,7,32,100
498.12579,1,12,13,6.2108526,31,10,12,41,114
292.86432,1,10,20,5.6797094,36,0,0,28,73
479.96317,1,11,20,6.1737094,37,8,8,48,96
508.27728,1,15,8,6.2310271,29,16,12,30,113
377.34622,1,10,20,5.9331632,36,10,14,38,106
301.48169,1,13,13,5.7087092,32,0,8,37,104
300.11865,1,10,17,5.7041779,33,12,0,39,80
416.0697,1,13,11,6.0308528,30,8,12,30,104
254.93776,1,13,11,5.5410194,30,16,16,36,122
409.81412,1,12,16,6.0157037,34,13,12,38,96
999.95386,1,15,15,6.9077091,36,16,16,51,95
484.1972,1,12,13,6.1824923,31,17,16,24,105
299.978,0,12,19,5.7037091,37,8,8,18,94
355.6785,1,17,10,5.8740273,33,14,12,41,91
399.82651,1,16,9,5.9910307,31,14,12,37,96
260.00723,0,12,12,5.5607095,30,9,10,37,69
575.05817,1,12,20,6.3544712,38,12,0,37,110
538.63116,1,15,10,6.289031,31,12,9,44,111
346.0936,1,16,9,5.8467093,31,12,9,35,110
323.01846,1,16,7,5.7777095,29,12,9,37,97
779.12738,1,18,11,6.6581745,35,8,8,44,125
361.30029,1,12,18,5.8897095,36,10,9,39,91
359.85791,1,12,19,5.8857093,37,10,8,28,86
250.06213,1,12,17,5.5217094,35,8,9,32,110
634.41876,1,14,16,6.4527092,36,0,12,47,92
384.7944,1,10,22,5.9527092,38,12,9,41,85
692.62762,1,17,11,6.5404925,34,8,8,36,120
577.13354,1,12,15,6.3580737,33,12,12,42,106
576.79822,1,16,9,6.3574924,31,12,12,41,112
369.82526,1,12,20,5.9130306,38,8,10,39,91
450.11014,1,12,20,6.1094923,38,12,10,42,90
358.06308,0,9,23,5.8807092,38,12,0,39,86
481.88675,0,10,16,6.1777091,32,0,8,32,86
299.978,1,12,11,5.7037091,29,12,12,27,113
326.96484,1,13,19,5.7898526,38,9,12,51,111
288.59692,1,12,15,5.665031,33,12,12,30,111
240.01683,1,13,9,5.4807091,28,7,8,32,106
173.24544,1,12,12,5.1547093,30,11,12,28,98
475.18735,1,12,12,6.1637092,30,10,12,28,105
253.84131,1,12,15,5.5367093,33,0,10,29,105
490.14893,1,13,13,6.1947093,32,9,12,44,118
517.74982,1,12,18,6.2494922,36,8,12,38,90
346.0936,1,12,14,5.8467093,32,8,9,34,95
412.28278,1,14,9,6.0217094,29,12,12,24,112
577.185,1,12,14,6.3581629,32,10,12,39,120
450.11014,1,12,11,6.1094923,29,10,12,41,123
442.17651,1,13,11,6.0917091,30,15,16,32,103
961.8443,1,18,11,6.8688526,35,18,16,40,121
538.45782,1,16,16,6.2887092,38,12,12,44,90
525.95587,1,12,11,6.2652173,29,12,12,32,125
672.82971,1,18,8,6.5114923,32,8,9,34,109
673.07227,1,16,11,6.5118527,33,9,10,46,128
479.96317,1,12,13,6.1737094,31,12,12,35,97
200.07841,1,12,15,5.2987094,33,12,12,35,96
596.15009,1,12,10,6.3904924,28,8,12,44,97
359.85791,0,12,15,5.8857093,33,6,7,21,78
320.12424,1,12,16,5.7687092,34,0,7,39,112
320.12424,1,12,20,5.7687092,38,5,2,32,88
413.52139,1,12,18,6.0247092,36,11,14,39,97
392.17542,1,12,18,5.9717093,36,9,6,41,101
353.43839,1,10,18,5.8677092,34,10,7,42,106
192.04112,1,10,18,5.2577095,34,6,8,28,59
369.33691,1,18,10,5.9117093,34,12,12,54,105
230.78629,1,17,8,5.4414921,31,8,12,30,119
442.17651,1,11,20,6.0917091,37,8,8,36,93
596.36499,1,12,18,6.3908529,36,0,12,38,82
1385.5505,1,18,10,7.2338529,34,16,16,45,134
311.59656,1,12,12,5.7417092,30,12,8,29,84
569.73669,1,11,14,6.3451743,31,12,12,36,98
557.6377,1,16,8,6.3237095,30,12,13,41,118
672.82971,1,17,10,6.5114923,33,8,12,50,113
260.00723,1,12,10,5.5607095,28,11,9,18,100
267.92557,1,13,10,5.5907092,29,12,12,27,93
450.20779,1,16,10,6.1097093,32,10,12,30,119
287.92874,0,12,15,5.6627131,33,4,11,19,67
411.04767,0,12,19,6.0187092,37,0,12,28,111
1202.1329,1,15,11,7.0918527,32,12,12,38,106
759.53735,1,18,12,6.6327095,36,0,10,49,127
302.99289,1,16,11,5.7137094,33,12,12,35,113
500.0506,1,14,9,6.2147093,29,12,12,36,115
557.81696,1,16,9,6.3240309,31,0,12,40,102
409.81647,0,15,8,6.0157094,29,12,14,29,85
549.96387,1,16,10,6.3098526,32,10,12,51,117
249.92923,1,16,6,5.5211778,28,10,10,34,125
461.35956,1,16,15,6.1341777,37,12,8,47,118
634.91565,1,18,14,6.4534922,38,16,12,40,121
864.98236,1,17,15,6.7627091,38,12,12,51,115
700.05798,1,14,16,6.5511632,36,0,12,44,120
547.31848,1,12,17,6.3050308,35,6,11,43,109
231.0674,1,13,11,5.4427094,30,11,12,28,109
376.79803,1,12,20,5.9317093,38,0,0,36,85
423.1427,1,12,20,6.0477095,38,0,12,50,85
299.978,1,14,9,5.7037091,29,10,11,32,106
600.14685,1,12,12,6.3971744,30,10,10,30,101
570.8772,1,12,12,6.3471742,30,9,12,40,116
298.26358,1,12,13,5.6979775,31,7,7,24,91
500.0506,1,12,16,6.2147093,34,5,11,28,91
270.07755,1,12,16,5.5987091,34,0,7,34,110
159.92572,1,12,14,5.0747094,32,12,7,33,75
288.54544,1,12,11,5.6648526,29,8,12,17,94
235.9711,1,13,10,5.4637094,29,12,12,27,109
461.67117,1,16,9,6.1348529,31,8,8,38,122
625.06323,1,12,14,6.4378529,32,8,11,26,102
439.97131,1,14,13,6.0867095,33,10,8,38,122
565.01544,1,12,19,6.336853,37,10,10,38,105
325.98547,1,12,18,5.7868528,36,9,9,37,113
259.69278,1,12,12,5.5594993,30,12,8,34,104
480.99304,1,16,12,6.1758528,34,11,9,43,124
211.60242,1,13,13,5.3547091,32,8,12,31,110
326.91791,1,12,15,5.7897091,33,12,12,37,95
384.7944,1,16,10,5.9527092,32,0,18,39,120
335.86508,1,12,20,5.8167095,38,8,12,39,105
346.43985,1,16,6,5.8477092,28,12,12,30,121
1202.1329,1,14,16,7.0918527,36,10,8,42,96
450.20779,1,12,14,6.1097093,32,12,9,26,110
463.91876,1,12,13,6.1397095,31,11,12,32,92
289.08173,1,12,20,5.6667094,38,0,9,34,98
711.02637,1,16,14,6.5667095,36,12,11,43,109
913.26941,1,18,12,6.8170309,36,11,11,44,118
404.11902,1,18,10,6.0017095,34,0,14,42,97
388.27332,1,17,14,5.9617095,37,8,16,42,95
209.91638,1,12,16,5.3467093,34,8,10,40,99
209.91638,1,12,12,5.3467093,30,12,10,31,106
301.41626,1,12,12,5.7084923,30,0,12,33,117
225.08823,1,12,19,5.4164925,37,6,12,47,90
476.03555,1,14,14,6.1654925,34,0,0,45,98
253.02065,1,12,17,5.5334711,35,11,12,44,95
225.08823,1,12,14,5.4164925,32,11,12,43,115
399.8793,1,15,10,5.9911628,31,12,12,40,106
346.0936,1,12,12,5.8467093,30,8,8,26,114
432.55493,1,13,11,6.0697093,30,10,12,34,92
586.68744,1,17,8,6.3744922,31,12,13,36,119
229.91492,1,13,11,5.4377093,30,12,13,32,85
280.47714,1,16,8,5.6364923,30,12,12,34,98
231.71132,1,13,9,5.4454923,28,12,12,30,114
700.05798,1,18,13,6.5511632,37,12,8,42,84
396.11694,1,13,14,5.9817095,33,16,16,42,108
240.01683,1,12,15,5.4807091,33,4,8,32,107
463.91876,1,12,20,6.1397095,38,12,16,35,84
275.10785,1,12,11,5.6171632,29,12,10,22,86
357.62762,1,12,17,5.8794923,35,12,10,27,88
250.09804,1,11,20,5.521853,37,0,0,34,97
370.12939,1,10,22,5.9138527,38,9,0,31,84
500.0506,1,16,11,6.2147093,33,14,12,45,117
557.89063,1,16,8,6.324163,30,14,12,42,110
400.04047,1,13,14,5.9915657,33,0,9,32,104
365.29642,1,14,9,5.9007092,29,0,9,26,110
538.45782,1,16,8,6.2887092,30,12,11,33,99
177.98679,1,10,22,5.1817093,38,0,0,31,80
105.92266,1,12,19,4.6627092,37,0,0,43,101
500.0506,1,14,8,6.2147093,28,12,12,31,117
899.80829,1,13,17,6.8021817,36,0,0,41,108
508.35388,0,16,16,6.2311778,38,10,10,33,69
695.65424,0,12,14,6.5448527,32,9,11,38,109
369.62622,1,16,10,5.9124923,32,8,8,39,85
317.57349,1,16,7,5.7607093,29,9,11,36,114
150.05882,1,13,19,5.0110273,38,0,0,46,90
260.04456,1,18,5,5.560853,29,14,12,30,107
865.10657,1,18,13,6.7628527,37,8,12,41,117
961.8443,1,18,14,6.8688526,38,18,16,47,112
693.1001,1,18,13,6.5411744,37,18,14,46,106
864.98236,1,15,10,6.7627091,31,17,12,38,116
461.67117,1,14,11,6.1348529,31,0,8,44,123
446.17419,1,16,11,6.1007094,33,0,8,40,118
161.47473,1,12,12,5.0843487,30,0,0,20,91
599.86786,1,12,16,6.3967094,34,7,12,29,103
330.53391,1,14,17,5.8007092,37,6,8,40,114
374.9187,1,12,17,5.9267092,35,6,12,36,102
469.67029,1,12,18,6.1520309,36,0,6,36,104
412.28278,1,14,13,6.0217094,33,12,14,43,112
508.62424,1,12,12,6.2317095,30,12,12,39,107
567.84735,1,14,14,6.3418527,34,12,12,36,117
360.1398,1,12,18,5.8864923,36,0,0,36,110
508.9838,1,12,15,6.2324162,33,11,12,42,96
425.26355,0,12,14,6.0527091,32,12,8,38,90
411.58664,1,12,11,6.0200195,29,7,8,27,97
323.34161,0,12,20,5.7787094,38,8,9,40,99
150.01109,1,10,14,5.0107093,30,5,8,29,99
214.80046,0,12,13,5.3697095,31,0,11,32,97
595.35809,0,12,11,6.389163,29,0,11,40,95
371.93134,1,14,11,5.9187093,31,0,8,44,126
462.06671,1,17,15,6.1357093,38,8,12,49,109
219.13971,0,11,16,5.3897095,33,0,11,22,86
279.91681,1,16,11,5.6344924,33,12,12,48,119
336.53741,1,16,7,5.8187094,29,12,12,38,102
422.91153,1,18,14,6.047163,38,5,9,45,105
223.05444,1,17,6,5.4074159,29,0,12,40,117
865.65991,1,16,16,6.7634921,38,12,12,40,112
423.1427,1,12,11,6.0477095,29,6,8,28,89
199.9427,1,12,10,5.2980309,28,6,12,39,131
577.10876,1,16,6,6.3580308,28,16,16,28,114
461.60492,1,14,17,6.1347094,37,14,10,35,98
427.82281,1,13,13,6.0587091,32,0,0,41,124
480.92401,1,14,9,6.1757092,29,12,12,30,125
320.05481,1,18,12,5.7684922,36,16,10,38,100
480.92401,0,14,11,6.1757092,31,9,11,21,84
365.41367,1,12,10,5.9010301,28,12,8,26,113
400.0979,1,16,13,5.9917092,35,12,10,46,102
240.24275,1,18,7,5.4816499,31,9,12,33,82
400.0979,1,14,15,5.9917092,35,10,12,47,112
346.0936,1,16,9,5.8467093,31,5,8,38,111
549.88495,1,13,11,6.3097091,30,8,11,24,96
634.41876,1,16,15,6.4527092,37,16,16,48,127
1041.2914,1,15,16,6.9482169,37,0,8,47,97
2000.6298,1,14,16,7.6012173,36,0,12,50,120
359.13898,1,16,13,5.8837094,35,14,16,41,101
362.38574,1,14,17,5.8927093,37,12,12,40,120
380.96573,0,13,12,5.9427094,31,10,8,34,99
228.53955,0,13,10,5.4317093,29,9,8,33,78
200.03502,1,12,14,5.2984924,32,11,5,23,110
115.43519,1,12,12,4.7487092,30,11,5,35,94
577.50049,1,16,15,6.3587093,37,13,17,50,120
529.09235,1,12,18,6.271163,36,8,8,45,108
429.96735,1,12,15,6.0637093,33,11,11,31,103
499.7774,1,11,18,6.2141628,35,0,0,39,97
500.0506,1,12,17,6.2147093,35,13,11,36,106
248.06953,0,11,12,5.5137091,29,0,0,22,99
406.55106,0,10,21,6.0077095,37,0,11,18,72
320.12424,0,10,21,5.7687092,37,8,11,29,88
420.19104,1,16,15,6.0407095,37,13,12,37,119
539.61346,1,12,18,6.290853,36,0,8,33,87
326.96484,1,17,11,5.7898526,34,12,11,49,121
390.27542,1,12,12,5.9668527,30,8,12,33,112
498.21463,1,15,15,6.211031,36,15,12,36,103
961.8443,1,16,15,6.8688526,37,18,16,48,99
480.92401,1,15,16,6.1757092,37,12,12,40,101
466.53134,1,15,11,6.1453252,32,0,0,34,117
407.27652,1,14,16,6.0094924,36,8,8,41,109
622.86212,1,12,13,6.4343252,31,12,12,46,73
326.91791,1,16,9,5.7897091,31,16,16,27,116
324.9624,1,12,11,5.7837095,29,12,12,42,98
346.25455,1,14,10,5.8471742,30,12,14,43,104
302.38757,1,14,11,5.7117095,31,12,12,29,78
404.52332,1,12,19,6.0027094,37,0,0,43,104
519.82507,1,12,16,6.2534924,34,12,12,39,85
409.81647,1,12,11,6.0157094,29,10,12,25,104
540.07574,1,12,17,6.2917094,35,0,0,37,107
400.49817,1,12,19,5.9927092,37,10,8,48,109
382.23309,0,13,18,5.9460306,37,0,11,31,119
615.14166,1,13,11,6.4218526,30,11,10,33,96
301.48169,1,12,12,5.7087092,30,0,0,31,93
285.63345,1,12,19,5.6547093,37,12,12,32,90
450.11014,1,15,11,6.1094923,32,0,12,29,103
826.9209,1,16,11,6.7177091,33,12,14,41,106
364.93134,1,16,8,5.8997092,30,12,14,32,96
240.01683,1,12,12,5.4807091,30,8,8,39,114
380.20444,1,11,14,5.9407091,31,0,9,33,86
320.05481,1,16,10,5.7684922,32,12,13,38,110
552.26648,1,12,20,6.3140306,38,12,12,41,87
400.0979,1,12,10,5.9917092,28,12,13,31,89
370.19119,1,12,13,5.9140196,31,0,8,40,106
279.86993,1,12,14,5.634325,32,8,5,43,100
528.73749,1,12,16,6.2704921,34,4,16,38,111
480.92401,1,12,19,6.1757092,37,12,12,40,100
576.92334,1,12,15,6.3577094,33,10,12,38,114
295.64612,1,18,10,5.6891632,34,0,13,45,98
312.53281,1,11,13,5.7447095,30,8,9,24,89
449.96701,1,10,14,6.1091743,30,9,11,23,74
403.84491,0,18,13,6.0010309,37,12,12,37,110
349.97192,1,13,19,5.8578529,38,14,11,29,130
673.07227,1,16,14,6.5118527,36,10,12,51,108
360.1398,1,12,15,5.8864923,33,8,10,31,98
500.0506,1,16,8,6.2147093,30,0,16,27,125
442.17651,1,16,7,6.0917091,29,12,12,29,104
246.9223,1,14,10,5.5090737,30,10,8,33,98
441.98361,1,15,12,6.0912728,33,12,11,37,104
384.7944,1,12,18,5.9527092,36,8,8,33,120
288.50403,1,13,11,5.6647091,30,8,8,38,134
400.1553,1,9,19,5.9918528,34,8,8,28,92
263.14603,1,16,8,5.5727091,30,16,13,34,129
508.11566,1,14,16,6.2307091,36,12,12,42,118
525.16321,1,12,10,6.2637091,28,0,12,37,107
346.021,1,12,20,5.8464994,38,11,12,37,92
576.92334,1,16,7,6.3577094,29,12,16,33,118
587.86609,1,17,8,6.3764992,31,14,12,38,108
518.97357,1,12,18,6.251853,36,8,12,42,119
287.15723,1,12,11,5.6600299,29,7,8,29,109
439.97131,1,12,18,6.0867095,36,8,8,41,91
450.11014,1,14,10,6.1094923,30,10,12,38,118
224.98415,1,13,11,5.4160299,30,0,14,37,119
444.39297,1,14,11,6.0967093,31,12,14,33,103
384.7944,1,16,6,5.9527092,28,8,12,25,120
342.39929,1,18,10,5.8359776,34,6,8,40,122
276.08517,1,12,10,5.6207094,28,0,8,35,119
505.14856,1,11,21,6.2248526,38,6,9,37,104
240.01683,1,11,12,5.4807091,29,8,8,22,96
238.34259,1,12,16,5.4737091,34,8,8,36,83
373.91156,1,12,11,5.9240193,29,0,0,37,115
267.92557,1,12,11,5.5907092,29,8,10,27,88
317.2561,1,12,18,5.7597094,36,8,8,43,96
576.92334,1,17,15,6.3577094,38,6,12,42,123
334.90698,1,12,16,5.8138528,34,7,11,43,108
394.05576,1,16,7,5.9764924,29,12,12,35,116
336.53741,1,18,12,5.8187094,36,12,16,45,109
389.82941,1,13,12,5.9657092,31,12,12,39,97
489.16968,1,12,10,6.1927094,28,10,12,34,107
272.87869,1,12,17,5.6090274,35,14,12,27,95
239.96477,1,15,9,5.4804921,30,12,15,31,109
299.978,1,12,15,5.7037091,33,12,12,36,104
482.36905,1,12,20,6.1787095,38,12,12,37,110
298.1835,1,13,17,5.6977091,36,8,13,40,94
359.85791,1,12,19,5.8857093,37,6,8,38,103
550.03259,1,14,12,6.3099775,32,12,8,45,123
270.1163,1,12,13,5.5988526,31,12,6,33,113
220.01796,1,16,16,5.3937092,38,0,0,35,110
246.09291,1,14,10,5.5057092,30,12,12,31,100
363.47464,1,13,12,5.8957095,31,12,12,39,95
307.57199,1,12,18,5.7287092,36,8,8,34,100
393.74734,1,13,18,5.9757094,37,8,15,39,108
499.78314,1,12,19,6.2141743,37,0,12,47,101
615.43243,1,12,17,6.4223251,35,16,12,43,90
461.96646,1,12,17,6.1354923,35,5,8,41,115
550.13464,1,16,11,6.310163,33,0,0,41,114
199.94252,1,13,10,5.2980299,29,11,11,33,84
439.97131,0,13,19,6.0867095,38,0,12,37,92
288.44147,1,14,17,5.6644921,37,11,12,44,125
496.72211,1,12,20,6.2080307,38,8,11,42,107
484.78677,1,14,12,6.1837091,32,9,8,33,129
379.82446,1,12,12,5.9397092,30,12,12,40,98
412.82315,1,12,20,6.0230193,38,0,8,41,108
500.0506,1,16,8,6.2147093,30,8,2,37,114
351.83926,1,18,10,5.8631744,34,11,12,37,111
367.27899,1,12,10,5.9061217,28,12,12,29,101
224.91206,1,12,16,5.4157095,34,12,12,25,99
225.24176,1,12,12,5.4171743,30,8,12,24,75
269.26859,1,12,20,5.5957093,38,0,6,29,91
326.96484,1,17,10,5.7898526,33,10,12,38,113
346.14328,1,12,17,5.8468528,35,0,8,34,120
444.39297,1,14,9,6.0967093,29,15,12,32,98
615.5354,1,16,11,6.4224925,33,16,16,31,107
576.79822,1,18,8,6.3574924,32,12,12,39,121
750.07593,1,11,21,6.6201744,38,0,0,40,115
538.45782,1,15,14,6.2887092,35,10,12,42,134
711.83984,1,17,14,6.567853,37,0,0,47,96
409.94818,1,16,7,6.0160308,29,16,12,38,120
444.01257,1,15,11,6.0958529,32,10,12,36,105
580.47864,1,12,16,6.363853,34,0,10,40,121
338.41489,1,16,8,5.8242726,30,9,12,29,113
567.07538,1,12,11,6.3404922,29,13,12,37,106
454.42413,1,18,11,6.119031,35,12,9,41,104
740.04388,1,11,16,6.6067095,33,10,10,23,80
629.99335,1,12,12,6.4457092,30,10,10,28,117
288.1312,1,16,6,5.6634159,28,12,12,42,126
576.92334,1,12,18,6.3577094,36,8,10,42,112
269.12149,1,13,19,5.5951629,38,0,0,47,104
450.20779,0,12,13,6.1097093,31,10,9,33,116
400.0979,0,12,14,5.9917092,32,8,8,18,70
350.13718,1,12,14,5.858325,32,6,6,20,83
599.95398,1,12,14,6.396853,32,6,6,13,84
254.04013,1,10,17,5.5374923,33,0,0,30,82
767.93811,1,12,13,6.6437092,31,8,12,32,109
307.81293,1,14,9,5.7294922,29,12,12,25,111
309.423,1,12,19,5.7347093,37,7,12,33,94
139.93451,1,16,8,4.9411745,30,8,12,32,96
389.82941,1,13,11,5.9657092,30,13,12,33,101
546.59576,1,12,12,6.3037095,30,12,12,35,90
854.66498,1,16,15,6.7507095,37,12,12,48,120
279.97754,1,16,7,5.6347094,29,12,12,38,120
479.96317,1,12,15,6.1737094,33,0,8,29,108
464.38287,1,13,17,6.1407094,36,8,12,43,99
437.54272,1,11,17,6.0811744,34,6,12,31,80
337.47525,1,11,19,5.8214922,36,5,10,45,93
461.50476,1,12,20,6.1344924,38,0,0,46,85
499.94211,1,15,11,6.2144923,32,10,11,43,118
312.57767,1,12,13,5.744853,31,0,12,31,115
503.96124,1,16,8,6.2224994,30,11,10,28,119
616.28491,1,12,14,6.4237094,32,11,12,39,94
461.60492,1,16,12,6.1347094,34,16,13,42,109
124.05304,1,13,14,4.8207092,33,8,14,37,104
304.86008,1,12,12,5.7198529,30,6,7,21,89
752.22064,1,12,18,6.6230297,36,8,12,28,101
400.0979,1,16,9,5.9917092,31,7,12,34,96
140.0094,1,12,18,4.9417095,36,7,9,48,109
344.29269,1,12,19,5.8414922,37,6,4,38,94
315.98956,1,12,16,5.7557092,34,5,6,34,115
384.51288,1,12,20,5.9519773,38,4,8,41,92
286.05215,1,9,15,5.6561742,30,5,11,32,71
469.11722,1,14,13,6.1508527,33,11,12,39,130
1154.2006,1,16,10,7.0511632,32,12,12,38,119
140.0094,1,12,14,4.9417095,32,13,10,24,74
451.25427,0,12,14,6.112031,32,8,12,25,104
480.92401,1,15,7,6.1757092,28,0,10,23,124
179.95547,1,15,10,5.1927094,31,0,12,29,94
423.1427,1,16,15,6.0477095,37,4,12,44,120
400.0979,1,11,20,5.9917092,37,9,8,40,96
